leg	[ leg ]	нога
nail	[ neil ]	ноготь, гвоздь
neck	[ nek ]	шея
shoulder	[ '??uld? ]	плечо, толкать
face	[ feis ]	лицо
palm	[ p?:m ]	ладонь
wrist	[ rist ]	наручный, запястье
waist	[ weist ]	талия
hip	[ hip ]	ягода шиповника
pumpkin	[ 'p?mpkin ]	тыква
pepper	[ 'pep? ]	перец
turnip	[ 't?:rn?p ]	репа
parsley	[ 'p?:sli ]	петрушка (бот.)
lime	[ laim ]	известь
dog	[ d?g ]	собака
corner	[ 'k?:n? ]	угол
cow	[ kau ]	корова
drawer	[ 'dr?:? ]	чертежник
goat	[ g?ut ]	козел, коза
jaw	[ ??: ]	челюсть
model	[ m?dl ]	модель
pen	[ pen ]	ручка
pupil	[ pju:pl ]	ученик
rat	[ r?t ]	крыса
sheep	[ '?i:p ]	овца, овцы
swing	[ swi? ]	качание, качели, качаться, колебаться
grater	[ 'greit? ]	терка
briefcase	[ 'bri:f‚ke?s ]	портфель
strawberries	[ 'str?:b?riz ]	клубника
cherries	[ '?eriz ]	вишни (от cherry)
dates	[ deits ]	даты (от date)
braces	[ 'bre?s?z ]	подтяжки
gloves	[ gl?vz ]	перчатки (от glove)
pyjamas	[ p?'??:m?z ]	пижама
cricket	[ 'krikit ]	крикет (спорт.)
beetroot	[ 'bi:tru:t ]	красная свекла
badger	[ 'b??? ]	барсук, травить
bench	[ ben? ]	скамейка
flea	[ fli: ]	блоха
doll	[ d?l ]	кукла
rattle	[ 'r?tl ]	"трещать, греметь, грохотать; треск, грохот, погремушка, трещотка"
cradle	[ 'kreidl ]	колыбель, убаюкивать
infant	[ 'inf?nt ]	младенец
mason	[ 'meisn ]	каменщик
foreman	[ 'f?:m?n ]	мастер, старший рабочий, техник, прораб
nostril	[ 'n?stril ]	ноздря
calf	[ k?:f ]	слоненок, теленок, молодой кит
people	[ pi:pl ]	люди
sadness	[ 's?dnis ]	печаль
joy	[ ??i ]	радость
happiness	[ 'h?pinis ]	счастье
feeling	[ 'fi:li? ]	чувство, чувствующий (от feel)
love	[ l?v ]	любовь, любить
hate	[ heit ]	ненавидеть
indifference	[ in'difr?ns ]	безразличие
surprise	[ s?'praiz ]	удивление, удивлять
anger	[ '??g? ]	гнев, злость
fright	[ frait ]	испуг
laughter	[ 'l?:ft? ]	смех, хохот
black	[ bl?k ]	черный
sympathy	[ 'simp??i ]	симпатия, сострадание
fear	[ fi? ]	страх, опасение, бояться, опасаться
tenderness	[ 'tend?nis ]	нежность (!NEW!)
blue	[ blu: ]	синий
brown	[ braun ]	коричневый
gold	[ g?uld ]	золото, золотой
green	[ gri:n ]	зеленый
grey	[ grei ]	серый
pink	[ pi?k ]	розовый
purple	[ 'p?:pl ]	лиловый, малиновый
red	[ red ]	красный
silver	[ 'silv? ]	серебро, серебряный
white	[ wait ]	белый
yellow	[ 'jel?u ]	желтый
lid	[ lid ]	крышка
towel	[ 'tau?l ]	полотенце
refrigerator	[ ri'fri?ireit? ]	холодильник
cabinet	[ 'k?binet ]	кабинет (не parlour)
stove	[ st?uv ]	печь, плита
oven	[ ?vn ]	печь
faucet	[ 'f?:s?t ]	водопроводный кран, вентиль
pigeon	[ pi?in ]	голубь
crow	[ kr?u ]	ворона
beak	[ bi:k ]	клюв
eagle	[ 'i:gl ]	орел
owl	[ aul ]	сова
feather	[ 'fe?? ]	предмет гордости, достижение
robin	[ 'r?bin ]	малиновка
sparrow	[ 'sp?r?u ]	воробей
ostrich	[ '?stri? ]	страус
egg	[ eg ]	яйцо
parrot	[ 'p?r?t ]	попугай
peacock	[ 'pi:k?k ]	павлин
turkey	[ 't?:ki ]	индейка
chicken	[ '?ikin ]	цыпленок, кура
duck	[ d?k ]	утка
goose	[ gu:s ]	гусь
swan	[ sw?n ]	лебедь
stork	[ st?:k ]	аист
nest	[ nest ]	гнездо
swallow	[ 'sw?l?u ]	глотать, проглатывать
crane	[ krein ]	журавль, подъемный кран
sky	[ skai ]	небо
sea	[ si: ]	море, океан
cliff	[ klif ]	утес, скала
beach	[ bi:? ]	пляж
crab	[ kr?b ]	краб
island	[ 'ail?nd ]	остров
lighthouse	[ 'laithaus ]	маяк
pebble	[ 'pebl ]	галька, горный хрусталь
sand	[ s?nd ]	песок
seaweed	[ 'si:wi:d ]	морская водоросль (TR!)
shell	[ ?el ]	раковина, скорлупа
wave	[ weiv ]	волна
motel	[ m?u'tel ]	мотель, гостиница
lifeboat	[ 'laifb?ut ]	спасательная лодка
pail	[ peil ]	ведро
swimmer	[ 'swim? ]	пловец
tube	[ tju:b ]	труба (не pipe)
mask	[ m?:sk ]	маска
tv	[ ‚ti:'vi: ]	телевизор, телевидение
speaker	[ 'spi:k? ]	оратор
record	[ 'rek?:d ]	запись, пластинка, отчет, рекорд
headphones	[ 'hedf?unz ]	наушники
radio	[ 'reidi?u ]	радио
microphone	[ 'maikr?f?un ]	микрофон
gardening	[ 'g?:dni? ]	садоводство
reading	[ 'ri:di? ]	чтение
singing	[ 'si?i? ]	пение (TR!)
ceiling	[ 'si:li? ]	потолок
wall	[ w?:l ]	стена
painting	[ 'peinti? ]	живопись
vase	[ v?:z ]	ваза
fireplace	[ 'fa??r‚ple?s ]	камин (TR!)
staircase	[ 'st??keis ]	лестница
step	[ step ]	шаг, шагать (step)
desk	[ desk ]	письменный стол
carpet	[ 'k?:pit ]	ковер, устилать
chair	[ ??? ]	стул
bookcase	[ 'bukkeis ]	книжный шкаф
curtain	[ k?:tn ]	занавеска, занавес
cushion	[ 'ku??n ]	подушка
sofa	[ 's?uf? ]	диван
lamp	[ l?mp ]	лампа
window	[ 'wind?u ]	окно, оконный
plant	[ pl?:nt ]	завод, растение, сажать, внедрять, посадить
photograph	[ 'f?ut?gr?:f ]	фотография, фотографировать
stocking	[ 'st?ki? ]	чулок
slip	[ slip ]	скольжение, скользить
brain	[ brein ]	мозг
throat	[ ?r?ut ]	горло
heart	[ h?:t ]	сердце
liver	[ 'liv? ]	печень
stomach	[ 'st?m?k ]	живот, желудок
muscle	[ 'm?s(?)l ]	мышца
bone	[ b?un ]	кость
kidney	[ 'kidni ]	почка (анатом.)
vein	[ vein ]	вена, жила, жилка
willow	[ 'wil?u ]	ива
birch	[ b?:? ]	береза, розга
oak	[ ?uk ]	дуб
branch	[ br?:n? ]	ветвь, отрасль
acorn	[ 'eik?:n ]	желудь
pine	[ pain ]	сосна
cone	[ k?un ]	конус, шишка (еловая)
trunk	[ tr??k ]	ствол, туловище
bark	[ b?:k ]	кора дерева
root	[ 'ru:t ]	корень
leaf	[ li:f ]	лист
twig	[ tw?g ]	веточка, прутик
beech	[ bi:? ]	бук
ash	[ ?? ]	ясень
chestnut	[ '?esn?t ]	каштан
walnut	[ 'w?:ln?t ]	грецкий орех
mountain	[ 'mauntin ]	гора
hill	[ hil ]	холм, гора
river	[ 'riv? ]	река
village	[ 'vili? ]	деревня
bridge	[ bri? ]	мост
orchard	[ '?:??d ]	фруктовый сад
pond	[ p?nd ]	пруд (не pool)
stable	[ 'steibl ]	конюшня
hay	[ hei ]	сено
field	[ fi:ld ]	поле
fence	[ fens ]	забор
barn	[ b?:n ]	амбар
tent	[ tent ]	палатка
blocks	[ bl?ks ]	кварталы (от block)
puzzle	[ p?zl ]	приводить в затруднение, загадка
shovel	[ '??vl ]	лопата
clay	[ klei ]	глина, земля
nightingale	[ 'naiti?geil ]	соловей
violet	[ 'vai?l?t ]	фиолетовый (не purple)
consciousness	[ 'k?n??snis ]	сознание, сознательность
abstract	[ '?bstr?kt ]	отвлеченный, абстрактный
dramatic	[ dr?'m?tik ]	драматический
grand	[ gr?nd ]	величественный
resident	[ 'rezid?nt ]	постоянный житель
prop	[ pr?p ]	подпорка, опора, подпирать
odd	[ ?d ]	странный
recommend	[ ,rek?'mend ]	рекомендовать
comb	[ k?um ]	гребенка, расчесывать, расчесать
brush	[ br?? ]	щетка, чистить щеткой
razor	[ 'reiz? ]	бритва
scissors	[ 'siz?z ]	ножницы
powder	[ 'paud? ]	пудра
perfume	[ 'p?:fju:m ]	духи
pike	[ paik ]	щука (не lung)
fry	[ frai ]	(за)жарить
smelt	[ smelt ]	плавить
salmon	[ 's?m?n ]	лосось
trout	[ traut ]	форель
oyster	[ '?ist? ]	устрица
fin	[ fin ]	плавник
scale	[ skeil ]	масштаб
net	[ net ]	сеть
bait	[ beit ]	приманка
float	[ fl?ut ]	плавать, поплавок
prey	[ prei ]	жертва
glove	[ gl?v ]	перчатка
hat	[ h?t ]	шляпа
skirt	[ sk?:t ]	юбка
trousers	[ 'trauz?z ]	брюки
uniform	[ 'ju:nif?:m ]	форма, форменная одежда
necklace	[ 'neklis ]	ожерелье
belt	[ belt ]	пояс, ремень
button	[ b?tn ]	кнопка, пуговица
glasses	[ gl?:siz ]	очки
pocket	[ 'p?kit ]	карман
umbrella	[ ?m'brel? ]	зонт
purse	[ p?:s ]	кошелек
criminal	[ 'kriminl ]	преступник, уголовный
break	[ breik ]	ломать
timid	[ 'timid ]	робкий, застенчивый
bomb	[ b?m ]	бомба, бомбить
submarine	[ 's?bm?ri:n ]	подводная лодка
